Record_ID,Date,Asset,Field_Group,Watercut_Pct,Data_Type,Original_Watercut_Pct,Watercut_Adjusted,Oil_Rate_BOPD,Oil_Rate_Type
217,2024-01-19,AV HUT D/P,Heera-Uran Complex,0.0,Actual,0.0,No,2494.6,Synthetic
229,2024-01-20,AV HUT D/P,Heera-Uran Complex,0.0,Actual,0.0,No,2435.5,Synthetic
241,2024-01-21,AV HUT D/P,Heera-Uran Complex,4.5,Actual,4.5,No,2447.7,Synthetic
253,2024-01-22,AV HUT D/P,Heera-Uran Complex,4.7,Actual,4.7,No,2559.4,Synthetic
265,2024-01-23,AV HUT D/P,Heera-Uran Complex,5.1,Actual,5.1,No,2400.7,Synthetic
277,2024-01-24,AV HUT D/P,Heera-Uran Complex,5.4,Actual,5.4,No,2398.2,Synthetic
289,2024-01-25,AV HUT D/P,Heera-Uran Complex,5.9,Actual,5.9,No,2337.9,Synthetic
301,2024-01-26,AV HUT D/P,Heera-Uran Complex,5.2,Actual,5.2,No,2316.3,Synthetic
313,2024-01-27,AV HUT D/P,Heera-Uran Complex,4.8,Actual,4.8,No,2438.4,Synthetic
325,2024-01-28,AV HUT D/P,Heera-Uran Complex,5.3,Actual,5.3,No,2308.5,Synthetic
337,2024-01-29,AV HUT D/P,Heera-Uran Complex,0.0,Actual,0.0,No,2442.5,Synthetic
349,2024-01-30,AV HUT D/P,Heera-Uran Complex,0.0,Actual,0.0,No,2399.2,Synthetic
361,2024-01-31,AV HUT D/P,Heera-Uran Complex,0.0,Actual,0.0,No,2465.8,Synthetic
373,2024-02-01,AV HUT D/P,Heera-Uran Complex,0.0,Actual,0.0,No,2451.9,Synthetic
385,2024-02-02,AV HUT D/P,Heera-Uran Complex,0.0,Actual,0.0,No,2499.9,Synthetic
397,2024-02-03,AV HUT D/P,Heera-Uran Complex,0.0,Actual,0.0,No,2384.2,Synthetic
409,2024-02-04,AV HUT D/P,Heera-Uran Complex,0.0,Actual,0.0,No,2398.5,Synthetic
421,2024-02-05,AV HUT D/P,Heera-Uran Complex,4.0,Actual,4.0,No,2292.4,Synthetic
433,2024-02-06,AV HUT D/P,Heera-Uran Complex,4.8,Actual,4.8,No,2316.8,Synthetic
445,2024-02-07,AV HUT D/P,Heera-Uran Complex,4.5,Actual,4.5,No,2375.5,Synthetic
457,2024-02-08,AV HUT D/P,Heera-Uran Complex,5.7,Actual,5.7,No,2382.9,Synthetic
469,2024-02-09,AV HUT D/P,Heera-Uran Complex,4.9,Actual,4.9,No,2272.8,Synthetic
481,2024-02-10,AV HUT D/P,Heera-Uran Complex,6.7,Actual,6.7,No,2371.0,Synthetic
493,2024-02-11,AV HUT D/P,Heera-Uran Complex,5.7,Actual,5.7,No,2415.2,Synthetic
505,2024-02-12,AV HUT D/P,Heera-Uran Complex,5.5,Actual,5.5,No,2349.2,Synthetic
517,2024-02-13,AV HUT D/P,Heera-Uran Complex,5.3,Actual,5.3,No,2450.6,Synthetic
529,2024-02-14,AV HUT D/P,Heera-Uran Complex,5.4,Actual,5.4,No,2261.9,Synthetic
541,2024-02-15,AV HUT D/P,Heera-Uran Complex,6.1,Actual,6.1,No,2217.4,Synthetic
553,2024-02-16,AV HUT D/P,Heera-Uran Complex,4.7,Actual,4.7,No,2195.0,Synthetic
565,2024-02-17,AV HUT D/P,Heera-Uran Complex,6.3,Actual,6.3,No,2397.7,Synthetic
577,2024-02-18,AV HUT D/P,Heera-Uran Complex,4.7,Actual,4.7,No,2358.0,Synthetic
589,2024-02-19,AV HUT D/P,Heera-Uran Complex,4.2,Actual,4.2,No,2312.2,Synthetic
601,2024-02-20,AV HUT D/P,Heera-Uran Complex,4.9,Actual,4.9,No,2323.3,Synthetic
613,2024-02-21,AV HUT D/P,Heera-Uran Complex,4.7,Actual,4.7,No,2225.7,Synthetic
625,2024-02-22,AV HUT D/P,Heera-Uran Complex,4.9,Actual,4.9,No,2466.5,Synthetic
637,2024-02-23,AV HUT D/P,Heera-Uran Complex,6.2,Actual,6.2,No,2286.8,Synthetic
649,2024-02-24,AV HUT D/P,Heera-Uran Complex,4.7,Actual,4.7,No,2302.0,Synthetic
661,2024-02-25,AV HUT D/P,Heera-Uran Complex,4.8,Actual,4.8,No,2340.0,Synthetic
673,2024-02-26,AV HUT D/P,Heera-Uran Complex,6.2,Actual,6.2,No,2301.8,Synthetic
685,2024-02-27,AV HUT D/P,Heera-Uran Complex,4.9,Actual,4.9,No,2298.2,Synthetic
697,2024-02-28,AV HUT D/P,Heera-Uran Complex,4.7,Actual,4.7,No,2228.3,Synthetic
709,2024-02-29,AV HUT D/P,Heera-Uran Complex,5.4,Actual,5.4,No,2302.5,Synthetic
721,2024-03-01,AV HUT D/P,Heera-Uran Complex,5.1,Actual,5.1,No,2399.5,Synthetic
733,2024-03-02,AV HUT D/P,Heera-Uran Complex,4.7,Actual,4.7,No,2365.2,Synthetic
745,2024-03-03,AV HUT D/P,Heera-Uran Complex,3.9,Actual,3.9,No,2389.7,Synthetic
757,2024-03-04,AV HUT D/P,Heera-Uran Complex,3.9,Actual,3.9,No,2242.8,Synthetic
769,2024-03-05,AV HUT D/P,Heera-Uran Complex,3.7,Actual,3.7,No,2209.7,Synthetic
781,2024-03-06,AV HUT D/P,Heera-Uran Complex,3.2,Actual,3.2,No,2272.1,Synthetic
793,2024-03-07,AV HUT D/P,Heera-Uran Complex,4.1,Actual,4.1,No,2270.0,Synthetic
805,2024-03-08,AV HUT D/P,Heera-Uran Complex,3.3,Actual,3.3,No,2348.0,Synthetic
817,2024-03-09,AV HUT D/P,Heera-Uran Complex,6.2,Actual,6.2,No,2120.1,Synthetic
829,2024-03-10,AV HUT D/P,Heera-Uran Complex,4.6,Actual,4.6,No,2354.2,Synthetic
841,2024-03-11,AV HUT D/P,Heera-Uran Complex,7.1,Actual,7.1,No,2205.7,Synthetic
853,2024-03-12,AV HUT D/P,Heera-Uran Complex,8.1,Actual,8.1,No,2172.5,Synthetic
865,2024-03-13,AV HUT D/P,Heera-Uran Complex,7.2,Actual,7.2,No,2142.1,Synthetic
877,2024-03-14,AV HUT D/P,Heera-Uran Complex,5.4,Actual,5.4,No,2118.3,Synthetic
889,2024-03-15,AV HUT D/P,Heera-Uran Complex,7.1,Actual,7.1,No,2259.1,Synthetic
901,2024-03-16,AV HUT D/P,Heera-Uran Complex,5.4,Actual,5.4,No,2228.0,Synthetic
913,2024-03-17,AV HUT D/P,Heera-Uran Complex,5.4,Actual,5.4,No,2134.3,Synthetic
925,2024-03-18,AV HUT D/P,Heera-Uran Complex,5.8,Actual,5.8,No,2126.3,Synthetic
937,2024-03-19,AV HUT D/P,Heera-Uran Complex,5.7,Actual,5.7,No,2188.4,Synthetic
949,2024-03-20,AV HUT D/P,Heera-Uran Complex,7.2,Actual,7.2,No,2298.5,Synthetic
961,2024-03-21,AV HUT D/P,Heera-Uran Complex,6.1,Actual,6.1,No,2182.7,Synthetic
973,2024-03-22,AV HUT D/P,Heera-Uran Complex,5.5,Actual,5.5,No,2105.0,Synthetic
985,2024-03-23,AV HUT D/P,Heera-Uran Complex,5.9,Actual,5.9,No,2180.3,Synthetic
997,2024-03-24,AV HUT D/P,Heera-Uran Complex,6.6,Actual,6.6,No,2167.0,Synthetic
1009,2024-03-25,AV HUT D/P,Heera-Uran Complex,5.2,Actual,5.2,No,2021.5,Synthetic
1021,2024-03-26,AV HUT D/P,Heera-Uran Complex,6.2,Actual,6.2,No,2180.6,Synthetic
1033,2024-03-27,AV HUT D/P,Heera-Uran Complex,4.9,Actual,4.9,No,2182.2,Synthetic
1045,2024-03-28,AV HUT D/P,Heera-Uran Complex,9.1,Actual,9.1,No,2187.2,Synthetic
1057,2024-03-29,AV HUT D/P,Heera-Uran Complex,5.7,Actual,5.7,No,2302.8,Synthetic
1069,2024-03-30,AV HUT D/P,Heera-Uran Complex,4.7,Actual,4.7,No,2265.3,Synthetic
1081,2024-03-31,AV HUT D/P,Heera-Uran Complex,5.4,Actual,5.4,No,2162.1,Synthetic
1093,2024-04-01,AV HUT D/P,Heera-Uran Complex,6.4,Actual,6.4,No,2092.7,Synthetic
1105,2024-04-02,AV HUT D/P,Heera-Uran Complex,7.6,Actual,7.6,No,2312.6,Synthetic
1117,2024-04-03,AV HUT D/P,Heera-Uran Complex,5.9,Actual,5.9,No,2168.8,Synthetic
1129,2024-04-04,AV HUT D/P,Heera-Uran Complex,7.0,Actual,7.0,No,2149.5,Synthetic
1141,2024-04-05,AV HUT D/P,Heera-Uran Complex,8.3,Actual,8.3,No,2128.3,Synthetic
1153,2024-04-06,AV HUT D/P,Heera-Uran Complex,8.0,Actual,8.0,No,2143.4,Synthetic
1165,2024-04-07,AV HUT D/P,Heera-Uran Complex,6.5,Actual,6.5,No,2137.0,Synthetic
1177,2024-04-08,AV HUT D/P,Heera-Uran Complex,10.1,Actual,10.1,No,2063.3,Synthetic
1189,2024-04-09,AV HUT D/P,Heera-Uran Complex,5.5,Actual,5.5,No,2117.6,Synthetic
1201,2024-04-10,AV HUT D/P,Heera-Uran Complex,6.5,Actual,6.5,No,2135.7,Synthetic
1213,2024-04-11,AV HUT D/P,Heera-Uran Complex,6.3,Actual,6.3,No,2102.6,Synthetic
1225,2024-04-12,AV HUT D/P,Heera-Uran Complex,6.4,Actual,6.4,No,2087.8,Synthetic
1237,2024-04-13,AV HUT D/P,Heera-Uran Complex,7.7,Actual,7.7,No,2121.6,Synthetic
1249,2024-04-14,AV HUT D/P,Heera-Uran Complex,4.2,Actual,4.2,No,2138.1,Synthetic
1261,2024-04-15,AV HUT D/P,Heera-Uran Complex,5.1,Actual,5.1,No,2237.4,Synthetic
1273,2024-04-16,AV HUT D/P,Heera-Uran Complex,8.9,Actual,8.9,No,1925.6,Synthetic
1285,2024-04-17,AV HUT D/P,Heera-Uran Complex,7.3,Actual,7.3,No,2177.6,Synthetic
1297,2024-04-18,AV HUT D/P,Heera-Uran Complex,7.8,Actual,7.8,No,2178.3,Synthetic
1309,2024-04-19,AV HUT D/P,Heera-Uran Complex,6.3,Actual,6.3,No,1983.5,Synthetic
1321,2024-04-20,AV HUT D/P,Heera-Uran Complex,7.2,Actual,7.2,No,2079.9,Synthetic
1333,2024-04-21,AV HUT D/P,Heera-Uran Complex,7.3,Actual,7.3,No,2074.2,Synthetic
1345,2024-04-22,AV HUT D/P,Heera-Uran Complex,6.9,Actual,6.9,No,2010.9,Synthetic
1357,2024-04-23,AV HUT D/P,Heera-Uran Complex,6.0,Actual,6.0,No,2058.4,Synthetic
1369,2024-04-24,AV HUT D/P,Heera-Uran Complex,6.0,Actual,6.0,No,2034.7,Synthetic
1381,2024-04-25,AV HUT D/P,Heera-Uran Complex,4.3,Actual,4.3,No,2234.0,Synthetic
1393,2024-04-26,AV HUT D/P,Heera-Uran Complex,5.3,Actual,5.3,No,2166.8,Synthetic
1405,2024-04-27,AV HUT D/P,Heera-Uran Complex,4.2,Actual,4.2,No,2198.8,Synthetic
1417,2024-04-28,AV HUT D/P,Heera-Uran Complex,5.3,Actual,5.3,No,2147.6,Synthetic
1429,2024-04-29,AV HUT D/P,Heera-Uran Complex,3.6,Actual,3.6,No,2047.8,Synthetic
1441,2024-04-30,AV HUT D/P,Heera-Uran Complex,3.5,Actual,3.5,No,2084.7,Synthetic
1453,2024-05-01,AV HUT D/P,Heera-Uran Complex,4.1,Actual,4.1,No,2139.0,Synthetic
1465,2024-05-02,AV HUT D/P,Heera-Uran Complex,4.4,Actual,4.4,No,2024.7,Synthetic
1477,2024-05-03,AV HUT D/P,Heera-Uran Complex,4.7,Actual,4.7,No,2140.3,Synthetic
1489,2024-05-04,AV HUT D/P,Heera-Uran Complex,4.1,Actual,4.1,No,2084.7,Synthetic
1501,2024-05-05,AV HUT D/P,Heera-Uran Complex,4.5,Actual,4.5,No,2068.8,Synthetic
1513,2024-05-06,AV HUT D/P,Heera-Uran Complex,5.1,Actual,5.1,No,2126.9,Synthetic
1525,2024-05-07,AV HUT D/P,Heera-Uran Complex,5.1,Actual,5.1,No,2107.5,Synthetic
1537,2024-05-08,AV HUT D/P,Heera-Uran Complex,4.7,Actual,4.7,No,2059.2,Synthetic
1549,2024-05-09,AV HUT D/P,Heera-Uran Complex,5.2,Actual,5.2,No,2145.2,Synthetic
1561,2024-05-10,AV HUT D/P,Heera-Uran Complex,5.7,Actual,5.7,No,1997.6,Synthetic
1573,2024-05-11,AV HUT D/P,Heera-Uran Complex,5.3,Actual,5.3,No,2104.7,Synthetic
1585,2024-05-12,AV HUT D/P,Heera-Uran Complex,5.2,Actual,5.2,No,2101.7,Synthetic
1597,2024-05-13,AV HUT D/P,Heera-Uran Complex,6.1,Actual,6.1,No,2032.7,Synthetic
1609,2024-05-14,AV HUT D/P,Heera-Uran Complex,5.5,Actual,5.5,No,2076.2,Synthetic
1621,2024-05-15,AV HUT D/P,Heera-Uran Complex,4.9,Actual,4.9,No,1983.0,Synthetic
1633,2024-05-16,AV HUT D/P,Heera-Uran Complex,5.9,Actual,5.9,No,2102.7,Synthetic
1645,2024-05-17,AV HUT D/P,Heera-Uran Complex,5.6,Actual,5.6,No,2035.4,Synthetic
1657,2024-05-18,AV HUT D/P,Heera-Uran Complex,5.6,Actual,5.6,No,2012.0,Synthetic
1669,2024-05-19,AV HUT D/P,Heera-Uran Complex,5.0,Actual,5.0,No,2112.8,Synthetic
1681,2024-05-20,AV HUT D/P,Heera-Uran Complex,6.0,Actual,6.0,No,1991.1,Synthetic
1693,2024-05-21,AV HUT D/P,Heera-Uran Complex,6.1,Actual,6.1,No,1944.5,Synthetic
1705,2024-05-22,AV HUT D/P,Heera-Uran Complex,4.8,Actual,4.8,No,1947.2,Synthetic
1717,2024-05-23,AV HUT D/P,Heera-Uran Complex,4.6,Actual,4.6,No,2079.4,Synthetic
1729,2024-05-24,AV HUT D/P,Heera-Uran Complex,4.7,Actual,4.7,No,1960.1,Synthetic
1741,2024-05-25,AV HUT D/P,Heera-Uran Complex,4.5,Actual,4.5,No,2145.3,Synthetic
1753,2024-05-26,AV HUT D/P,Heera-Uran Complex,4.5,Actual,4.5,No,1908.2,Synthetic
1765,2024-05-27,AV HUT D/P,Heera-Uran Complex,4.1,Actual,4.1,No,2140.9,Synthetic
1777,2024-05-28,AV HUT D/P,Heera-Uran Complex,4.7,Actual,4.7,No,2040.5,Synthetic
1789,2024-05-29,AV HUT D/P,Heera-Uran Complex,4.7,Actual,4.7,No,2019.2,Synthetic
1801,2024-05-30,AV HUT D/P,Heera-Uran Complex,5.2,Actual,5.2,No,1983.7,Synthetic
1813,2024-05-31,AV HUT D/P,Heera-Uran Complex,6.6,Actual,6.6,No,2022.0,Synthetic
1825,2024-06-01,AV HUT D/P,Heera-Uran Complex,4.6,Actual,4.6,No,2015.9,Synthetic
1837,2024-06-02,AV HUT D/P,Heera-Uran Complex,6.0,Actual,6.0,No,2065.8,Synthetic
1849,2024-06-03,AV HUT D/P,Heera-Uran Complex,4.8,Actual,4.8,No,2017.5,Synthetic
1861,2024-06-04,AV HUT D/P,Heera-Uran Complex,4.6,Actual,4.6,No,2019.3,Synthetic
1873,2024-06-05,AV HUT D/P,Heera-Uran Complex,4.8,Actual,4.8,No,1983.5,Synthetic
1885,2024-06-06,AV HUT D/P,Heera-Uran Complex,5.3,Actual,5.3,No,1993.7,Synthetic
1897,2024-06-07,AV HUT D/P,Heera-Uran Complex,6.0,Actual,6.0,No,2004.9,Synthetic
1909,2024-06-08,AV HUT D/P,Heera-Uran Complex,4.8,Actual,4.8,No,1895.0,Synthetic
1921,2024-06-09,AV HUT D/P,Heera-Uran Complex,5.5,Actual,5.5,No,1906.6,Synthetic
1933,2024-06-10,AV HUT D/P,Heera-Uran Complex,5.2,Actual,5.2,No,2032.0,Synthetic
1945,2024-06-11,AV HUT D/P,Heera-Uran Complex,4.4,Actual,4.4,No,2004.3,Synthetic
1957,2024-06-12,AV HUT D/P,Heera-Uran Complex,4.5,Actual,4.5,No,1979.4,Synthetic
1969,2024-06-13,AV HUT D/P,Heera-Uran Complex,4.1,Actual,4.1,No,1993.3,Synthetic
1981,2024-06-14,AV HUT D/P,Heera-Uran Complex,5.5,Actual,5.5,No,1994.5,Synthetic
1993,2024-06-15,AV HUT D/P,Heera-Uran Complex,6.8,Actual,6.8,No,1925.1,Synthetic
2005,2024-06-16,AV HUT D/P,Heera-Uran Complex,5.0,Actual,5.0,No,1928.2,Synthetic
2017,2024-06-17,AV HUT D/P,Heera-Uran Complex,4.2,Actual,4.2,No,1992.3,Synthetic
2029,2024-06-18,AV HUT D/P,Heera-Uran Complex,0.0,Actual,0.0,No,1965.4,Synthetic
2041,2024-06-19,AV HUT D/P,Heera-Uran Complex,0.0,Actual,0.0,No,2046.9,Synthetic
2053,2024-06-20,AV HUT D/P,Heera-Uran Complex,0.0,Actual,0.0,No,1916.4,Synthetic
2065,2024-06-21,AV HUT D/P,Heera-Uran Complex,0.0,Actual,0.0,No,2079.1,Synthetic
2077,2024-06-22,AV HUT D/P,Heera-Uran Complex,0.0,Actual,0.0,No,2042.8,Synthetic
2089,2024-06-23,AV HUT D/P,Heera-Uran Complex,0.0,Actual,0.0,No,2027.0,Synthetic
2101,2024-06-24,AV HUT D/P,Heera-Uran Complex,4.4,Actual,4.4,No,2018.1,Synthetic
2113,2024-06-25,AV HUT D/P,Heera-Uran Complex,3.8,Actual,3.8,No,2062.5,Synthetic
2125,2024-06-26,AV HUT D/P,Heera-Uran Complex,4.1,Actual,4.1,No,2018.1,Synthetic
2137,2024-06-27,AV HUT D/P,Heera-Uran Complex,4.8,Actual,4.8,No,1840.6,Synthetic
2149,2024-06-28,AV HUT D/P,Heera-Uran Complex,4.3,Actual,4.3,No,1876.2,Synthetic
2161,2024-06-29,AV HUT D/P,Heera-Uran Complex,6.1,Actual,6.1,No,1892.6,Synthetic
2173,2024-06-30,AV HUT D/P,Heera-Uran Complex,6.1,Estimated,6.1,No,1927.8,Synthetic
2185,2024-07-01,AV HUT D/P,Heera-Uran Complex,6.1,Estimated,6.1,No,1953.6,Synthetic
2197,2024-07-02,AV HUT D/P,Heera-Uran Complex,6.09,Estimated,6.09,No,1879.5,Synthetic
2209,2024-07-03,AV HUT D/P,Heera-Uran Complex,6.09,Estimated,6.09,No,1929.5,Synthetic
2221,2024-07-04,AV HUT D/P,Heera-Uran Complex,6.09,Estimated,6.09,No,1872.8,Synthetic
2233,2024-07-05,AV HUT D/P,Heera-Uran Complex,6.09,Estimated,6.09,No,1878.6,Synthetic
2245,2024-07-06,AV HUT D/P,Heera-Uran Complex,6.08,Estimated,6.08,No,1830.7,Synthetic
2257,2024-07-07,AV HUT D/P,Heera-Uran Complex,6.08,Estimated,6.08,No,1856.0,Synthetic
2269,2024-07-08,AV HUT D/P,Heera-Uran Complex,6.08,Estimated,6.08,No,1829.0,Synthetic
2281,2024-07-09,AV HUT D/P,Heera-Uran Complex,6.08,Estimated,6.08,No,1848.1,Synthetic
2293,2024-07-10,AV HUT D/P,Heera-Uran Complex,6.07,Estimated,6.07,No,1961.5,Synthetic
2305,2024-07-11,AV HUT D/P,Heera-Uran Complex,6.07,Estimated,6.07,No,1844.8,Synthetic
2317,2024-07-12,AV HUT D/P,Heera-Uran Complex,6.07,Estimated,6.07,No,2046.2,Synthetic
2329,2024-07-13,AV HUT D/P,Heera-Uran Complex,6.07,Estimated,6.07,No,1922.0,Synthetic
2341,2024-07-14,AV HUT D/P,Heera-Uran Complex,6.07,Estimated,6.07,No,1901.9,Synthetic
2353,2024-07-15,AV HUT D/P,Heera-Uran Complex,6.06,Estimated,6.06,No,1840.4,Synthetic
2365,2024-07-16,AV HUT D/P,Heera-Uran Complex,6.06,Estimated,6.06,No,1926.2,Synthetic
2377,2024-07-17,AV HUT D/P,Heera-Uran Complex,6.06,Estimated,6.06,No,1851.6,Synthetic
2389,2024-07-18,AV HUT D/P,Heera-Uran Complex,6.06,Estimated,6.06,No,1888.5,Synthetic
2401,2024-07-19,AV HUT D/P,Heera-Uran Complex,6.05,Estimated,6.05,No,2023.6,Synthetic
2413,2024-07-20,AV HUT D/P,Heera-Uran Complex,6.05,Estimated,6.05,No,1871.4,Synthetic
2425,2024-07-21,AV HUT D/P,Heera-Uran Complex,6.05,Estimated,6.05,No,1939.0,Synthetic
2437,2024-07-22,AV HUT D/P,Heera-Uran Complex,6.05,Estimated,6.05,No,1832.4,Synthetic
2449,2024-07-23,AV HUT D/P,Heera-Uran Complex,6.05,Estimated,6.05,No,1867.5,Synthetic
2461,2024-07-24,AV HUT D/P,Heera-Uran Complex,6.04,Estimated,6.04,No,1966.3,Synthetic
2473,2024-07-25,AV HUT D/P,Heera-Uran Complex,6.04,Estimated,6.04,No,1829.5,Synthetic
2485,2024-07-26,AV HUT D/P,Heera-Uran Complex,6.04,Estimated,6.04,No,1963.4,Synthetic
2497,2024-07-27,AV HUT D/P,Heera-Uran Complex,6.04,Estimated,6.04,No,1899.2,Synthetic
2509,2024-07-28,AV HUT D/P,Heera-Uran Complex,6.03,Estimated,6.03,No,1826.0,Synthetic
2521,2024-07-29,AV HUT D/P,Heera-Uran Complex,6.03,Estimated,6.03,No,1890.1,Synthetic
2533,2024-07-30,AV HUT D/P,Heera-Uran Complex,6.03,Estimated,6.03,No,1906.6,Synthetic
2545,2024-07-31,AV HUT D/P,Heera-Uran Complex,6.03,Estimated,6.03,No,1884.6,Synthetic
2557,2024-08-01,AV HUT D/P,Heera-Uran Complex,6.02,Estimated,6.02,No,1760.7,Synthetic
2569,2024-08-02,AV HUT D/P,Heera-Uran Complex,6.02,Estimated,6.02,No,1805.1,Synthetic
2581,2024-08-03,AV HUT D/P,Heera-Uran Complex,6.02,Estimated,6.02,No,1829.2,Synthetic
2593,2024-08-04,AV HUT D/P,Heera-Uran Complex,6.02,Estimated,6.02,No,1836.4,Synthetic
2605,2024-08-05,AV HUT D/P,Heera-Uran Complex,6.02,Estimated,6.02,No,1872.3,Synthetic
2617,2024-08-06,AV HUT D/P,Heera-Uran Complex,6.01,Estimated,6.01,No,1845.5,Synthetic
2629,2024-08-07,AV HUT D/P,Heera-Uran Complex,6.01,Estimated,6.01,No,1759.9,Synthetic
2641,2024-08-08,AV HUT D/P,Heera-Uran Complex,6.01,Estimated,6.01,No,1851.8,Synthetic
2653,2024-08-09,AV HUT D/P,Heera-Uran Complex,6.01,Estimated,6.01,No,1862.0,Synthetic
2665,2024-08-10,AV HUT D/P,Heera-Uran Complex,6.0,Estimated,6.0,No,1856.9,Synthetic
2677,2024-08-11,AV HUT D/P,Heera-Uran Complex,6.0,Estimated,6.0,No,1883.0,Synthetic
2689,2024-08-12,AV HUT D/P,Heera-Uran Complex,6.0,Estimated,6.0,No,1867.0,Synthetic
2701,2024-08-13,AV HUT D/P,Heera-Uran Complex,6.0,Estimated,6.0,No,1844.1,Synthetic
2713,2024-08-14,AV HUT D/P,Heera-Uran Complex,6.0,Estimated,6.0,No,1812.8,Synthetic
2725,2024-08-15,AV HUT D/P,Heera-Uran Complex,5.99,Estimated,5.99,No,1723.9,Synthetic
2737,2024-08-16,AV HUT D/P,Heera-Uran Complex,5.99,Estimated,5.99,No,1835.3,Synthetic
2749,2024-08-17,AV HUT D/P,Heera-Uran Complex,5.99,Estimated,5.99,No,1820.9,Synthetic
2761,2024-08-18,AV HUT D/P,Heera-Uran Complex,5.99,Estimated,5.99,No,1821.9,Synthetic
2773,2024-08-19,AV HUT D/P,Heera-Uran Complex,5.98,Estimated,5.98,No,1735.8,Synthetic
2785,2024-08-20,AV HUT D/P,Heera-Uran Complex,5.98,Estimated,5.98,No,1744.1,Synthetic
2797,2024-08-21,AV HUT D/P,Heera-Uran Complex,5.98,Estimated,5.98,No,1857.1,Synthetic
2809,2024-08-22,AV HUT D/P,Heera-Uran Complex,5.98,Estimated,5.98,No,1795.7,Synthetic
2821,2024-08-23,AV HUT D/P,Heera-Uran Complex,5.98,Estimated,5.98,No,1832.2,Synthetic
2833,2024-08-24,AV HUT D/P,Heera-Uran Complex,5.97,Estimated,5.97,No,1794.7,Synthetic
2845,2024-08-25,AV HUT D/P,Heera-Uran Complex,5.97,Estimated,5.97,No,1792.5,Synthetic
2857,2024-08-26,AV HUT D/P,Heera-Uran Complex,5.97,Estimated,5.97,No,1838.8,Synthetic
2869,2024-08-27,AV HUT D/P,Heera-Uran Complex,5.97,Estimated,5.97,No,1758.5,Synthetic
2881,2024-08-28,AV HUT D/P,Heera-Uran Complex,5.96,Estimated,5.96,No,1789.1,Synthetic
2893,2024-08-29,AV HUT D/P,Heera-Uran Complex,5.96,Estimated,5.96,No,1756.9,Synthetic
2905,2024-08-30,AV HUT D/P,Heera-Uran Complex,5.96,Estimated,5.96,No,1756.0,Synthetic
2917,2024-08-31,AV HUT D/P,Heera-Uran Complex,5.96,Estimated,5.96,No,1760.4,Synthetic
2929,2024-09-01,AV HUT D/P,Heera-Uran Complex,5.95,Estimated,5.95,No,1786.5,Synthetic
2941,2024-09-02,AV HUT D/P,Heera-Uran Complex,5.95,Estimated,5.95,No,1746.9,Synthetic
2953,2024-09-03,AV HUT D/P,Heera-Uran Complex,5.95,Estimated,5.95,No,1836.7,Synthetic
2965,2024-09-04,AV HUT D/P,Heera-Uran Complex,5.95,Estimated,5.95,No,1720.2,Synthetic
2977,2024-09-05,AV HUT D/P,Heera-Uran Complex,5.95,Estimated,5.95,No,1755.4,Synthetic
2989,2024-09-06,AV HUT D/P,Heera-Uran Complex,5.94,Estimated,5.94,No,1739.9,Synthetic
3001,2024-09-07,AV HUT D/P,Heera-Uran Complex,5.94,Estimated,5.94,No,1837.2,Synthetic
